ID,内容,状态,优先级,创建时间,截止日期,标签
1,优化 todo.py 的代码结构，添加函数注释,已完成,中,2026-03-04 01:00:00,,
2,添加任务优先级功能（高/中/低）,已完成,中,2026-03-04 01:00:01,,
3,添加任务截止日期功能,已完成,中,2026-03-04 01:00:02,,
4,添加任务分类/标签功能,已完成,中,2026-03-04 01:00:03,,
5,添加数据导出功能（导出为 CSV 或 Markdown）,已完成,中,2026-03-04 01:00:04,,
6,测试任务 1,已完成,中,2026-03-04 01:13:10,,
7,测试任务_1772557996,待完成,中,2026-03-04 01:13:16,,
8,测试低优先级任务,待完成,低,2026-03-04 01:17:10,,
9,测试高优先级任务,待完成,高,2026-03-04 01:17:10,,
10,测试默认优先级任务,待完成,中,2026-03-04 01:17:10,,
11,测试任务_1772558260,待完成,中,2026-03-04 01:17:40,,
12,添加按优先级排序功能（高优先级任务排在前面）,待完成,中,2026-03-04 01:17:58,,
13,添加按优先级过滤功能（支持 --priority 参数筛选）,待完成,中,2026-03-04 01:17:58,,
14,添加修改任务优先级功能,待完成,中,2026-03-04 01:17:58,,
15,测试截止日期功能,待完成,中,2026-03-04 01:24:42,2026-03-10,
16,测试无截止日期任务,待完成,中,2026-03-04 01:24:43,,
17,测试任务_1772558695,待完成,中,2026-03-04 01:24:55,,
18,测试标签分割,待完成,中,2026-03-04 01:28:09,,工作，紧急
19,英文逗号测试,待完成,中,2026-03-04 01:29:50,,"test, urgent"
20,测试任务_1772559067,待完成,中,2026-03-04 01:31:07,,
21,测试任务_1772559141,待完成,中,2026-03-04 01:32:21,,
22,添加导出功能的单元测试,待完成,中,2026-03-04 01:32:41,,
23,测试添加功能,待完成,高,2026-03-04 01:32:58,2026-03-15,"测试, 验证"
